brand,model,interface,port_speed,port_number,color,price
Syba,SI-MPE24043,Mini-PCIe,{'bits_per_second': 1000000000},1.0,,"['USD', '14.05']"
Syba,SI-PEX24042,PCIe x1,{'bits_per_second': 1000000000},4.0,Green / Black,"['USD', '45.99']"
Syba,SY-ADA24005,USB 1.0,{'bits_per_second': 100000000},1.0,,"['USD', '0.00']"
Syba,SY-ADA24024,USB 2.0,{'bits_per_second': 100000000},1.0,,"['USD', '0.00']"
Syba,SY-ADA24027,USB 2.0,{'bits_per_second': 100000000},1.0,,"['USD', '18.95']"
Syba,SY-ADA24029,USB 2.0,{'bits_per_second': 1000000000},1.0,,"['USD', '19.14']"
Syba,SY-ADA24040,USB 3.0,{'bits_per_second': 1000000000},1.0,,"['USD', '44.70']"
Syba,SY-HUB24047,USB 3.0,{'bits_per_second': 1000000000},4.0,Black,"['USD', '48.94']"
Syba,SY-PEX24028,PCIe x1,{'bits_per_second': 1000000000},2.0,,"['USD', '41.44']"
Syba,SY-PEX24030,PCIe x1,{'bits_per_second': 1000000000},1.0,,"['USD', '22.65']"
Syba,SY-PEX24045,PCIe x4,{'bits_per_second': 1000000000},4.0,Green / Black,"['USD', '81.83']"
Syba,SY-PEX24056,PCIe x4,{'bits_per_second': 10000000000},1.0,Green / Black,"['USD', '109.99']"
TP-Link,TF-3239DL,PCI,{'bits_per_second': 100000000},1.0,,"['USD', '46.82']"
TP-Link,TG-3269,PCI,{'bits_per_second': 1000000000},1.0,,"['USD', '0.00']"
TP-Link,TG-3468,PCIe x1,{'bits_per_second': 1000000000},1.0,,"['USD', '14.99']"
TP-Link,UE300,USB 3.0,{'bits_per_second': 1000000000},1.0,,"['USD', '12.99']"
TRENDnet,TE100-PCIWN,PCI,{'bits_per_second': 100000000},1.0,,"['USD', '0.00']"
TRENDnet,TEG-PCITXR,PCI,{'bits_per_second': 1000000000},1.0,,"['USD', '19.98']"
TRENDnet,TRENDnet TEG-10GECTX 10 Gigabit PCIe Network Adapter,PCIe x4,{'bits_per_second': 10000000000},1.0,Green / Silver,"['USD', '99.99']"
TRENDnet,TUC-ET2G,USB Type-C,{'bits_per_second': 2500000000},1.0,Black,"['USD', '34.99']"
Tripp Lite,U436-000-GB,USB Type-C,{'bits_per_second': 1000000000},1.0,Black,"['USD', '29.20']"
V7,V7UCRJ45-BLK-1N,USB Type-C,{'bits_per_second': 1000000000},1.0,Black,"['USD', '22.99']"
VisionTek,Bigfoot Killer 2100,PCIe x1,{'bits_per_second': 1000000000},1.0,,"['USD', '0.00']"
