brand,model,type,interface,capacity,price_per_gb,color,price
Apricom,Aegis Bio,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.234']",,"['USD', '233.62']"
Apricom,Aegis Bio 3.0,Portable,USB 3.0,{'total': 512000000000},"['USD', '0.00']",,"['USD', '0.00']"
Apricom,Aegis Padlock,Portable,USB 2.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Apricom,Aegis Padlock DT,Portable,USB 3.0,{'total': 14000000000000},"['USD', '0.00']",Black,"['USD', '0.00']"
Apricom,Aegis Padlock Fortress,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.216']",,"['USD', '215.99']"
Apricom,Aegis Portable 3.0,Portable,USB 3.0,{'total': 500000000000},"['USD', '0.00']",,"['USD', '0.00']"
Apricom,Apricorn Aegis Padlock,Portable,USB 3.0,{'total': 128000000000},"['USD', '0.00']",Black,"['USD', '0.00']"
Asus,FX HDD,Portable,USB 3.1,{'total': 1000000000000},"['USD', '0.00']",Black,"['USD', '0.00']"
Axiom,Mobile-D,Portable,USB 3.0,{'total': 750000000000},"['USD', '0.00']",,"['USD', '0.00']"
Axiom,USB3HD35S1TB-AX,Desktop,USB 3.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Axiom,USB3HD35S250-AX,Desktop,,{'total': 250000000000},"['USD', '0.00']",,"['USD', '0.00']"
Axiom,USB3HD35S2TB-AX,Desktop,USB 3.0,{'total': 2000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Axiom,USB3HD35S3TB-AX,Desktop,USB 3.0,{'total': 3000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Axiom,USB3HD35S500-AX,Desktop,,{'total': 500000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buffalo Technology,Americas MiniStation,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.055']",Black,"['USD', '54.97']"
Buffalo Technology,DriveStation,Desktop,Thunderbolt,{'total': 256000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buffalo Technology,DriveStation Axis,Desktop,USB 3.0,{'total': 1000000000000},"['USD', '0.228']",,"['USD', '227.59']"
Buffalo Technology,DriveStation Axis Velocity,Desktop,USB 3.0,{'total': 1000000000000},"['USD', '0.072']",,"['USD', '72.13']"
Buffalo Technology,DriveStation Combo 4,Desktop,"USB 2.0, IEEE 1394, IEEE 1394b, eSATA 3Gb/s",{'total': 2000000000000},"['USD', '0.185']",,"['USD', '370.69']"
Buffalo Technology,DriveStation Duo,Desktop,USB 3.0,{'total': 8000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buffalo Technology,MiniStation,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buffalo Technology,MiniStation Extreme,Portable,USB 3.0,{'total': 500000000000},"['USD', '0.391']",,"['USD', '195.59']"
Buslink,CRF-2T-U2,Desktop,USB 2.0,{'total': 2000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buslink,CSC-1T-U2,Desktop,USB 2.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buslink,CSC-2T-U3,Desktop,USB 3.0,{'total': 2000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Buslink,CipherShield,Desktop,USB 3.0,{'total': 6000000000000},"['USD', '0.242']",,"['USD', '1449.99']"
Buslink,DL-4TSDU31G2,Portable,USB 3.1,{'total': 4000000000000},"['USD', '0.161']",Black,"['USD', '644.01']"
Edge Tech,EDGDG-236236-PE,Desktop,USB 3.0,{'total': 4000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Freecom,35610,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.103']",Black,"['USD', '103.24']"
G-Technology,0G02530,Desktop,"USB 3.0, IEEE 1394b, eSATA 6Gb/s",{'total': 2000000000000},"['USD', '0.00']",,"['USD', '0.00']"
G-Technology,0G02534,Desktop,"USB 3.0, IEEE 1394b, eSATA 6Gb/s",{'total': 3000000000000},"['USD', '0.00']",,"['USD', '0.00']"
G-Technology,0G02538,Desktop,"USB 3.0, IEEE 1394b, eSATA 6Gb/s",{'total': 4000000000000},"['USD', '0.00']",,"['USD', '0.00']"
HP,HPHDD2E30500AS1-RBU,Portable,USB 3.0,{'total': 500000000000},"['USD', '0.00']",,"['USD', '0.00']"
Hitachi,GST Touro Mobile Pro,Portable,USB 3.0,{'total': 500000000000},"['USD', '0.00']",,"['USD', '0.00']"
Hitachi,HGST Touro Desk,Desktop,USB 3.0,{'total': 4000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Hitachi,HGST Touro Desk Pro,Desktop,USB 3.0,{'total': 4000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Hitachi,HGST Touro Mobile,Portable,USB 3.0,{'total': 500000000000},"['USD', '0.00']",,"['USD', '0.00']"
Hitachi,HGST Touro Mobile Pro,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Imation,Apollo Expert,Portable,USB 3.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
Imation,Apollo Pro UX,Desktop,USB 2.0,{'total': 1000000000000},"['USD', '0.00']",,"['USD', '0.00']"
LaCie,2big,Desktop,Thunderbolt,{'total': 10000000000000},"['USD', '0.00']",,"['USD', '0.00']"
